loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
7900,36 months,14.19,270.73,D,7 years,MORTGAGE,146700,Verified,home_improvement,11.47,1,696,9.8,Charged Off
12000,36 months,18.21,435.09,D,6 years,RENT,70000,Source Verified,home_improvement,10.68,0,684,51.5,Charged Off
25800,36 months,10.14,834.19,B,2 years,MORTGAGE,43400,Verified,debt_consolidation,17.33,0,716,32.1,Fully Paid
12900,60 months,13.56,297.23,C,10+ years,RENT,288200,Verified,debt_consolidation,13.69,0,696,37.5,Charged Off
11000,36 months,10.75,358.82,B,10+ years,RENT,168900,Not Verified,debt_consolidation,12.71,0,725,95.0,Fully Paid
12000,36 months,10.4,389.46,B,10+ years,OTHER,34400,Verified,debt_consolidation,23.06,0,714,46.9,Fully Paid
12900,60 months,11.84,285.91,B,2 years,MORTGAGE,128600,Source Verified,debt_consolidation,9.56,1,707,30.3,Charged Off
10600,60 months,14.93,251.78,C,9 years,MORTGAGE,76000,Verified,debt_consolidation,13.74,0,677,50.7,Charged Off
12500,36 months,17.97,451.72,E,3 years,RENT,92600,Not Verified,debt_consolidation,8.22,0,670,15.8,Fully Paid
4800,36 months,6.68,147.51,A,8 years,MORTGAGE,146700,Verified,debt_consolidation,24.05,1,758,86.9,Fully Paid
4800,36 months,8.5,151.52,B,2 years,MORTGAGE,23000,Verified,debt_consolidation,9.06,1,732,63.9,Fully Paid
14000,36 months,15.38,487.92,D,10+ years,RENT,106100,Not Verified,debt_consolidation,18.75,1,703,68.2,Fully Paid
7600,36 months,14.22,260.56,C,10+ years,OWN,165900,Verified,debt_consolidation,18.3,0,701,59.8,Fully Paid
13300,36 months,12.27,443.47,C,6 years,RENT,120800,Source Verified,credit_card,30.53,0,721,73.3,Fully Paid
10300,36 months,15.25,358.32,D,3 years,RENT,90600,Not Verified,credit_card,30.17,1,675,53.2,Charged Off
14500,36 months,6.83,446.59,A,4 years,MORTGAGE,53200,Verified,debt_consolidation,18.15,0,743,19.8,Fully Paid
12600,60 months,18.0,319.96,E,10+ years,OWN,38200,Not Verified,medical,22.02,0,664,82.5,Fully Paid
11200,36 months,13.49,380.02,C,8 years,MORTGAGE,57400,Source Verified,debt_consolidation,16.8,0,702,67.3,Fully Paid
14900,36 months,13.84,508.09,D,2 years,RENT,109500,Not Verified,credit_card,22.26,1,689,69.0,Fully Paid
15500,60 months,15.42,372.17,D,3 years,RENT,17200,Not Verified,other,21.58,1,689,72.9,Charged Off
5200,60 months,13.52,119.7,C,10+ years,OWN,98100,Source Verified,small_business,18.06,0,699,43.1,Fully Paid
6700,36 months,9.73,215.34,B,4 years,RENT,64800,Not Verified,credit_card,12.54,1,738,81.9,Charged Off
22100,60 months,13.5,508.52,C,2 years,RENT,73000,Source Verified,debt_consolidation,23.09,1,709,83.8,Charged Off
12600,36 months,17.5,452.37,D,4 years,RENT,61300,Source Verified,debt_consolidation,23.67,1,669,44.2,Charged Off
6900,60 months,20.46,184.58,D,7 years,MORTGAGE,71600,Not Verified,debt_consolidation,24.81,0,697,17.8,Charged Off
11100,60 months,10.64,239.35,B,10+ years,RENT,41300,Verified,credit_card,16.68,0,706,66.8,Charged Off
23300,36 months,14.38,800.65,D,8 years,RENT,75100,Verified,debt_consolidation,18.96,1,666,76.3,Charged Off
9300,60 months,12.89,211.08,C,10+ years,RENT,31600,Verified,credit_card,20.59,1,692,52.5,Charged Off
4000,60 months,11.8,88.57,B,3 years,OWN,82100,Verified,small_business,18.61,0,713,93.4,Charged Off
24700,36 months,19.48,911.41,E,7 years,RENT,112300,Source Verified,debt_consolidation,10.2,0,664,24.5,Fully Paid
33000,36 months,12.27,1100.33,C,,RENT,208000,Not Verified,other,16.23,0,687,59.9,Fully Paid
16200,36 months,9.16,516.36,A,10+ years,MORTGAGE,118900,Verified,credit_card,17.77,0,722,24.7,Fully Paid
21900,60 months,20.73,589.15,E,10+ years,MORTGAGE,74500,Not Verified,other,14.07,0,674,26.9,Charged Off
11500,36 months,27.81,474.5,G,1 year,MORTGAGE,39600,Verified,credit_card,31.56,0,641,60.1,Charged Off
6600,60 months,6.37,128.74,A,1 year,OWN,125200,Verified,debt_consolidation,46.28,0,746,69.4,Charged Off
13700,36 months,10.55,445.61,B,< 1 year,RENT,80100,Verified,major_purchase,21.41,0,691,30.7,Fully Paid
6500,60 months,10.84,140.81,B,10+ years,MORTGAGE,60200,Source Verified,debt_consolidation,18.05,0,716,31.4,Charged Off
21300,60 months,10.68,459.72,B,10+ years,MORTGAGE,41900,Not Verified,debt_consolidation,27.19,0,691,50.0,Charged Off
12600,36 months,6.28,384.92,A,10+ years,MORTGAGE,103600,Verified,debt_consolidation,14.39,1,746,81.5,Fully Paid
11300,60 months,13.97,262.76,D,,RENT,73200,Source Verified,debt_consolidation,18.04,3,686,31.5,Charged Off
13200,36 months,17.55,474.24,E,10+ years,RENT,40500,Verified,debt_consolidation,40.21,1,673,83.8,Charged Off
11600,36 months,10.61,377.63,B,1 year,RENT,58800,Not Verified,debt_consolidation,24.98,0,713,37.4,Charged Off
11400,36 months,14.23,390.9,C,2 years,MORTGAGE,40300,Not Verified,medical,16.8,0,710,60.1,Fully Paid
21700,36 months,9.77,697.86,B,10+ years,RENT,65600,Verified,debt_consolidation,17.35,2,719,38.8,Fully Paid
